defense,seasons_blended,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
DET,2024+2025,247.0,1.41,20.94,55.18,23.71,5.74,2.33,17.15,1.23,12.56,5.36,67.7,3.53,44.56,2.85,45.2,1.12,12.86,3.3,36.7,1.3,10.26,0.3,0.53,0.26,0.5,0.26,0.24,0.03,0.26,0.06,0.03,267.94,108.59,7.0,22.5,10.0,28.0,28.0,4.0,25.5,22.0,31.0,20.0,6.0,9.5,9.0,10.0,1.0,1.0,18.5,23.0,24.0,19.0,25.5,30.0,4.5,20.0,16.0,8.5,19.5,4.5,30.5,13.0,26.5,29.0,6.0,30.0,10.0,25.1,25.0,8.0,12.83,2.17,24.0,18.67,27.33,29.0
GB,2024+2025,219.85,1.38,15.12,65.74,25.62,2.05,2.47,16.94,2.42,16.06,4.82,55.97,3.2,40.24,2.33,30.47,1.06,9.32,4.0,39.26,1.5,11.59,0.09,0.59,0.21,0.44,0.18,0.3,0.12,0.18,0.12,0.12,234.97,124.35,22.0,25.0,27.0,12.0,26.0,28.0,19.5,24.0,2.0,5.0,21.0,28.0,18.5,16.0,7.0,6.0,22.0,32.0,10.0,13.0,18.0,26.0,27.5,16.5,24.0,14.0,28.5,1.5,9.0,30.0,15.5,13.5,25.0,19.0,25.3,18.2,15.2,21.0,21.0,4.83,21.0,17.67,19.83,13.5
HOU,2024+2025,212.32,1.5,21.59,61.09,18.8,2.33,2.36,17.18,1.65,12.74,4.41,56.3,2.7,37.67,1.94,32.94,1.18,12.97,2.97,29.38,1.74,14.26,0.12,0.5,0.2,0.32,0.26,0.21,0.12,0.41,0.06,0.06,233.91,109.79,28.0,16.5,8.0,21.0,32.0,27.0,23.0,21.0,18.5,17.0,30.0,27.0,30.0,24.0,19.5,2.0,16.0,20.0,29.5,29.0,8.0,16.0,25.0,23.5,25.5,23.0,19.5,7.0,9.0,5.0,26.5,24.5,26.0,29.0,20.7,23.5,24.4,26.67,24.5,9.5,15.0,21.17,16.83,24.5
IND,2024+2025,252.41,1.5,15.59,64.58,32.36,4.08,2.68,16.68,1.64,12.82,4.91,68.36,3.8,49.42,2.56,28.88,1.24,13.0,4.03,45.74,1.94,18.18,0.21,0.53,0.35,0.38,0.2,0.3,0.09,0.21,0.24,0.15,268.0,126.44,4.0,16.5,26.0,17.0,10.0,16.0,14.0,25.0,20.0,15.5,16.5,7.0,3.0,3.0,2.0,8.0,15.0,19.0,9.0,4.0,4.0,5.0,14.0,20.0,10.0,19.0,27.0,1.5,16.5,20.0,3.5,9.0,5.0,14.0,13.1,18.0,13.9,14.17,11.0,3.83,16.83,11.0,4.17,9.0
JAX,2024+2025,250.41,1.59,20.65,60.47,26.47,0.76,2.7,22.3,2.3,15.53,5.64,72.62,3.44,48.76,1.91,18.38,1.47,16.56,3.94,41.74,1.68,15.24,0.2,0.58,0.32,0.47,0.26,0.12,0.09,0.38,0.09,0.06,271.06,124.76,6.0,9.5,13.0,22.0,25.0,32.0,12.5,6.0,4.0,7.0,2.0,5.0,12.0,4.0,21.0,29.0,7.0,10.0,11.0,9.0,11.0,13.0,16.5,18.0,12.0,11.5,19.5,25.5,16.5,6.0,20.5,24.5,4.0,18.0,9.8,15.3,13.2,6.17,11.83,25.17,11.17,8.67,14.83,24.5
KC,2024+2025,219.32,1.23,22.41,48.68,28.24,4.32,2.26,15.15,1.5,11.3,5.08,58.12,3.09,38.5,1.85,19.03,1.71,18.42,4.26,46.5,1.27,12.32,0.3,0.35,0.26,0.26,0.26,0.21,0.12,0.21,0.06,0.03,241.74,103.35,24.0,28.0,6.0,31.0,22.0,14.0,27.0,27.0,25.5,24.0,11.5,22.0,22.0,21.0,22.0,28.0,2.0,7.0,5.0,3.0,27.0,23.0,4.5,30.0,16.0,29.5,19.5,7.0,9.0,20.0,26.5,29.0,19.0,32.0,16.3,29.4,23.9,21.0,20.83,19.0,6.0,9.33,25.5,29.0
LAC,2024+2025,207.8,1.17,20.82,58.62,30.2,1.24,2.5,15.15,1.74,11.65,5.47,68.24,2.74,32.47,1.74,25.58,0.92,11.15,3.15,32.08,1.59,11.79,0.21,0.36,0.2,0.42,0.15,0.24,0.06,0.24,0.0,0.09,228.62,115.62,29.0,30.0,11.0,25.0,18.0,30.0,17.0,28.0,16.5,23.0,4.0,8.0,29.0,29.0,27.0,13.0,26.0,27.0,28.0,28.0,14.0,25.0,14.0,29.0,25.5,16.0,31.0,4.5,25.0,16.0,32.0,19.0,28.0,28.0,22.4,25.4,22.2,9.33,29.67,14.83,26.0,24.0,23.67,19.0
LAR,2024+2025,237.09,1.62,18.03,71.44,23.7,5.86,3.0,23.86,1.5,12.36,5.2,75.85,3.09,36.5,2.06,24.38,0.82,9.8,4.42,44.76,1.42,10.41,0.12,0.32,0.24,0.68,0.21,0.12,0.12,0.3,0.15,0.09,255.12,131.35,9.0,7.5,20.0,8.0,29.0,3.0,4.0,5.0,25.5,21.0,9.0,2.0,22.0,26.0,15.0,18.0,32.0,31.0,1.0,5.0,20.0,29.0,25.0,31.0,20.0,1.0,25.0,25.5,9.0,10.5,12.0,19.0,9.0,13.0,14.1,12.2,21.7,4.0,24.33,19.5,24.0,5.5,20.33,19.0
LV,2024+2025,224.5,1.53,16.15,61.32,36.47,2.8,2.47,14.76,1.94,13.24,4.7,59.59,3.29,41.65,2.17,23.8,1.76,19.58,3.42,37.7,1.62,13.85,0.26,0.59,0.35,0.47,0.18,0.18,0.12,0.32,0.12,0.21,240.64,125.79,18.0,13.5,22.0,20.0,8.0,25.0,19.5,29.0,8.0,13.5,25.0,21.0,16.0,13.0,10.5,19.5,1.0,3.0,20.0,16.0,13.0,18.0,8.5,16.5,10.0,11.5,28.5,13.0,9.0,7.5,15.5,5.0,21.0,16.0,16.6,20.2,11.1,19.17,19.17,14.33,4.33,14.5,15.5,5.0
MIA,2024+2025,227.92,1.5,15.74,59.56,37.17,4.88,2.7,21.17,1.83,13.86,4.68,54.42,2.64,33.5,2.08,24.68,1.64,19.0,4.36,44.2,1.71,17.08,0.12,0.65,0.29,0.35,0.36,0.12,0.06,0.2,0.24,0.15,243.65,131.76,14.0,16.5,25.0,23.0,7.0,10.0,12.5,10.0,11.0,10.0,27.5,31.0,31.0,28.0,14.0,16.0,3.5,4.0,3.5,7.0,10.0,7.0,25.0,13.0,13.0,21.0,7.5,25.5,25.0,24.0,3.5,9.0,18.0,12.0,19.7,14.1,10.6,26.5,22.17,18.5,10.83,11.5,6.83,9.0
MIN,2024+2025,219.62,1.14,12.41,65.32,28.02,2.88,2.47,14.09,1.58,12.64,4.68,60.18,3.7,48.42,2.26,25.98,0.91,11.68,3.35,34.59,1.44,12.44,0.06,0.5,0.26,0.32,0.26,0.15,0.06,0.18,0.09,0.15,232.03,120.08,23.0,31.0,32.0,15.0,23.0,22.5,19.5,32.0,21.0,19.0,27.5,20.0,7.0,5.0,8.0,12.0,28.0,25.0,22.0,24.0,19.0,22.0,30.5,23.5,16.0,24.5,19.5,18.5,25.0,27.5,20.5,9.0,27.0,24.0,28.7,22.8,20.6,24.0,10.5,12.83,26.0,24.5,20.5,9.0
NE,2024+2025,213.47,1.53,14.92,65.5,30.68,5.29,2.64,18.85,1.44,8.35,4.85,61.44,3.06,36.24,2.03,23.8,1.03,11.2,3.53,37.2,1.88,16.47,0.06,0.74,0.18,0.44,0.26,0.2,0.09,0.18,0.18,0.12,228.38,123.38,27.0,13.5,28.0,14.0,17.0,7.0,15.0,16.0,27.0,32.0,19.5,17.0,25.0,27.0,17.0,19.5,23.5,26.0,18.0,17.0,5.0,8.0,30.5,6.5,28.5,15.0,19.5,9.0,16.5,27.5,10.0,13.5,29.0,20.0,25.6,14.3,24.9,17.17,23.83,15.17,22.0,20.83,7.67,13.5
NO,2024+2025,224.44,1.3,21.18,67.26,39.09,3.38,2.47,16.97,1.15,9.47,4.7,62.88,3.06,40.71,2.5,28.24,1.03,12.32,3.74,40.38,1.3,13.47,0.06,0.74,0.24,0.53,0.32,0.12,0.0,0.2,0.03,0.18,245.62,132.79,19.0,27.0,9.0,10.0,4.0,19.0,19.5,23.0,32.0,31.0,25.0,16.0,25.0,15.0,3.0,9.0,23.5,24.0,14.0,11.0,25.5,19.0,30.5,6.5,20.0,6.0,13.5,25.5,32.0,24.0,30.5,6.0,15.0,11.0,20.1,14.0,19.6,15.67,17.83,12.5,26.5,16.33,25.0,6.0
NYG,2024+2025,228.18,1.41,24.12,81.42,32.56,2.79,2.74,18.0,1.86,16.0,5.14,64.0,3.09,39.68,2.2,28.97,1.38,18.5,3.32,32.5,1.03,11.09,0.26,0.68,0.35,0.35,0.35,0.09,0.21,0.21,0.06,0.26,252.29,147.97,13.0,22.5,4.0,2.0,9.0,26.0,11.0,20.0,10.0,6.0,10.0,15.0,22.0,18.0,9.0,7.0,8.0,6.0,23.0,27.0,31.0,28.0,8.5,11.0,10.0,21.0,9.5,30.0,1.0,20.0,26.5,3.5,11.0,2.0,11.8,9.2,7.4,15.33,16.5,15.33,5.0,23.33,28.5,3.5
NYJ,2024+2025,217.62,1.56,19.18,72.32,31.97,5.2,2.0,18.47,1.65,12.82,4.91,65.09,3.12,37.36,1.76,22.5,0.86,12.89,3.56,35.03,1.65,14.59,0.3,0.82,0.36,0.5,0.18,0.15,0.09,0.24,0.21,0.09,236.8,135.59,26.0,11.0,15.0,7.0,12.0,8.0,29.0,17.5,18.5,15.5,16.5,14.0,20.0,25.0,25.0,22.0,30.0,22.0,17.0,23.0,12.0,15.0,4.5,3.0,7.5,8.5,30.0,18.5,16.5,16.0,6.0,19.0,24.0,9.0,16.1,13.1,12.5,13.0,25.0,21.83,22.83,18.67,11.0,19.0
