player,team,slot,injury,pos_row,depth
Easton Stick,IND,QB4,1,QB,4
Jonathan Taylor,IND,RB1,1,RB,1
DJ Giddens,IND,RB2,1,RB,2
Seth McGowan,IND,RB3,1,RB,3
Ulysses Bentley IV,IND,RB4,1,RB,4
Alec Pierce,IND,WR1,0,WR1,1
Nick Westbrook-Ikhine,IND,WR4+,1,WR1,2
Laquon Treadwell,IND,WR4+,1,WR1,3
Sahmir Hagans,IND,WR4+,1,WR1,4
Josh Downs,IND,WR2,1,WR2,1
Deion Burks,IND,WR4+,1,WR2,2
Coleman Owen,IND,WR4+,1,WR2,3
EJ Horton Jr.,IND,WR4+,1,WR2,4
Ashton Dulin,IND,WR3,1,WR3,1
Anthony Gould,IND,WR4+,1,WR3,2
Eli Pancol,IND,WR4+,1,WR3,3
Raylen Sharpe,IND,WR4+,1,WR3,4
Tyler Warren,IND,TE1,1,TE,1
Mo Alie-Cox,IND,TE2,1,TE,2
Drew Ogletree,IND,TE3,1,TE,3
Will Mallory,IND,TE4,1,TE,4
Trevor Lawrence,JAX,QB1,1,QB,1
Nick Mullens,JAX,QB2,1,QB,2
Carter Bradley,JAX,QB3,1,QB,3
Joey Aguilar,JAX,QB4,1,QB,4
Bhayshul Tuten,JAX,RB1,1,RB,1
Chris Rodriguez Jr.,JAX,RB2,0,RB,2
LeQuint Allen Jr.,JAX,RB3,1,RB,3
Ameer Abdullah,JAX,RB4,1,RB,4
Brian Thomas Jr.,JAX,WR1,1,WR1,1
Travis Hunter,JAX,WR4+,0,WR1,2
Tim Jones,JAX,WR4+,1,WR1,3
Brady Boyd,JAX,WR4+,1,WR1,4
Jakobi Meyers,JAX,WR2,1,WR2,1
Josh Cameron,JAX,WR4+,1,WR2,2
Austin Trammell,JAX,WR4+,1,WR2,3
Ben Patterson,JAX,WR4+,1,WR2,4
Parker Washington,JAX,WR3,1,WR3,1
CJ Williams,JAX,WR4+,1,WR3,2
Chandler Brayboy,JAX,WR4+,1,WR3,3
Trebor Pena,JAX,WR4+,1,WR3,4
Brenton Strange,JAX,TE1,1,TE,1
Nate Boerkircher,JAX,TE2,1,TE,2
Tanner Koziol,JAX,TE3,1,TE,3
Quintin Morris,JAX,TE4,1,TE,4
Cam Ward,TEN,QB1,1,QB,1
Mitchell Trubisky,TEN,QB2,1,QB,2
Will Levis,TEN,QB3,1,QB,3
Hendon Hooker,TEN,QB4,1,QB,4
Tony Pollard,TEN,RB1,1,RB,1
Tyjae Spears,TEN,RB2,1,RB,2
Nicholas Singleton,TEN,RB3,1,RB,3
Michael Carter,TEN,RB4,1,RB,4
Carnell Tate,TEN,WR1,1,WR1,1
Elic Ayomanor,TEN,WR4+,1,WR1,2
Mason Kinsey,TEN,WR4+,1,WR1,3
Lance McCutcheon,TEN,WR4+,1,WR1,4
Wan'Dale Robinson,TEN,WR2,1,WR2,1
Chimere Dike,TEN,WR4+,1,WR2,2
K.J. Osborn,TEN,WR4+,1,WR2,3
Courtney Jackson,TEN,WR4+,1,WR2,4
Calvin Ridley,TEN,WR3,1,WR3,1
Bryce Oliver,TEN,WR4+,1,WR3,2
Xavier Restrepo,TEN,WR4+,1,WR3,3
Tyren Montgomery,TEN,WR4+,1,WR3,4
Gunnar Helm,TEN,TE1,1,TE,1
Daniel Bellinger,TEN,TE2,1,TE,2
Kylen Granson,TEN,TE3,1,TE,3
Jaren Kanak,TEN,TE4,1,TE,4
Bo Nix,DEN,QB1,0,QB,1
