defense,season,week,opponent,QB PY,P TD,QB RY,RB1 RY,RB2+ RY,WR RY,RB1 Recep,RB1 RecY,RB2 Recep,RB2 RecY,WR1 Recep,WR1 RecY,WR2 Recep,WR2 RecY,WR3 Recep,WR3 RecY,WR4+ Recep,WR4+ RecY,TE1 Recep,TE1 RecY,TE2 Recep,TE2 RecY,QB TD,RB1 TD,RB2 TD,WR1 TD,WR2 TD,WR3 TD,WR4+ TD,TE1 TD,TE2 TD,D/ST TD,QB P+R,RB R+R
BUF,2024,6,NYJ,294,2,0,113,8,0,5,56,0,0,8,107,6,114,0,0,0,0,2,10,2,7,0,0,0,1,1,0,0,0,0,0,294,177
BUF,2024,7,TEN,215,1,13,61,15,0,2,4,1,9,3,42,5,43,1,-2,2,10,4,50,7,59,0,0,0,0,0,0,1,0,0,0,228,89
BUF,2024,8,SEA,212,0,16,12,4,0,4,33,3,20,6,69,1,9,1,15,1,10,3,22,2,34,0,0,1,0,0,0,0,0,0,0,228,69
BUF,2024,9,MIA,231,2,3,63,74,9,8,58,2,32,4,80,2,-4,3,15,0,0,5,46,1,4,0,2,0,0,1,0,0,0,0,0,234,227
BUF,2024,10,IND,272,2,0,114,0,7,2,8,3,13,7,72,4,81,6,71,0,0,2,15,2,12,0,0,1,0,1,0,0,0,0,0,272,135
BUF,2024,11,KC,196,3,0,60,2,16,0,0,3,13,4,61,3,29,2,26,4,25,2,8,5,34,0,0,0,1,0,0,0,0,2,0,196,75
BUF,2024,13,SF,94,0,4,78,71,0,0,0,3,11,3,56,4,20,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,98,160
BUF,2024,14,LAR,320,2,0,87,34,16,2,10,0,0,5,92,12,162,0,0,3,45,1,11,0,0,0,2,0,1,2,0,0,0,0,1,320,131
BUF,2024,15,DET,494,5,13,31,4,0,5,83,4,31,14,193,3,37,4,30,1,9,7,111,0,0,0,2,0,1,1,1,1,0,0,0,507,149
BUF,2024,16,NE,261,2,30,60,30,6,1,13,2,8,4,33,5,95,2,18,0,0,4,39,4,55,0,1,0,0,1,0,0,1,0,0,291,111
BUF,2024,17,NYJ,195,2,6,45,61,0,1,8,1,8,7,66,5,47,1,9,0,0,8,57,0,0,0,0,0,1,0,0,0,1,0,0,201,122
BUF,2024,18,NE,241,1,16,41,20,0,4,20,0,0,3,34,7,117,2,12,1,12,4,27,1,19,1,0,0,0,1,0,0,0,0,0,257,81
CAR,2024,1,NO,200,3,13,83,49,0,5,27,1,13,3,73,2,11,1,6,0,0,4,43,3,27,0,1,1,1,0,0,0,1,1,0,213,172
CAR,2024,2,LAC,130,2,18,131,70,0,1,0,0,0,5,51,2,26,2,19,0,0,1,5,3,29,0,1,0,2,0,0,0,0,0,0,148,201
CAR,2024,3,LV,296,2,14,34,7,0,0,0,5,50,4,40,7,62,7,96,0,0,3,41,1,7,0,0,1,0,1,1,0,0,0,0,310,91
CAR,2024,4,CIN,232,2,10,51,80,0,4,27,2,12,3,85,1,29,6,60,0,0,1,-9,5,28,0,1,2,1,0,0,0,0,0,0,242,170
CAR,2024,5,CHI,304,2,30,73,25,0,2,47,0,0,5,105,5,40,3,33,0,0,3,57,2,22,0,1,2,2,0,0,0,0,0,0,334,145
CAR,2024,6,ATL,225,1,-5,95,105,3,3,10,1,3,6,74,3,38,3,30,0,0,3,70,0,0,0,2,1,1,0,0,0,0,0,0,220,213
