season,defense,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
2024,MIN,261.53,1.41,9.41,60.0,19.35,4.65,2.88,16.59,1.35,10.71,5.53,67.88,5.0,58.18,3.0,39.71,1.47,17.47,3.94,40.59,1.24,11.18,0.06,0.65,0.18,0.35,0.41,0.24,0.06,0.12,0.06,0.06,270.94,106.65,4.0,19.5,32.0,22.0,31.0,11.0,9.0,26.0,21.5,22.0,8.5,13.0,1.0,2.0,2.0,2.0,9.5,9.5,12.0,12.0,23.0,22.0,28.5,14.0,24.0,25.0,7.5,8.0,19.5,27.0,23.5,22.0,6.0,29.0,18.0,20.0,25.5,15.5,3.5,4.0,12.83,17.0,22.83,22.0
2024,NE,220.53,1.59,13.59,76.0,40.0,1.82,2.0,16.24,1.24,7.35,4.94,66.59,3.65,42.0,2.24,24.71,1.18,13.41,3.71,37.41,1.41,12.82,0.06,1.0,0.24,0.47,0.24,0.12,0.12,0.24,0.06,0.12,234.12,139.59,26.5,11.0,28.0,7.0,5.0,26.0,29.5,27.0,25.0,31.0,20.5,16.0,12.5,20.0,11.5,16.0,16.0,19.0,14.0,16.0,15.0,15.0,28.5,1.5,18.5,10.5,22.5,23.0,10.5,12.5,23.5,14.0,27.0,8.0,24.2,14.6,17.5,15.67,18.33,16.83,15.17,14.17,17.83,14.0
2024,NO,252.65,1.12,25.53,68.06,41.94,5.82,2.76,18.94,1.12,10.35,5.65,73.29,3.41,48.18,2.29,27.82,1.47,17.47,4.29,49.76,0.53,6.82,0.06,0.88,0.24,0.65,0.29,0.06,0.0,0.12,0.0,0.18,278.18,139.29,6.0,29.0,7.5,13.0,4.0,5.0,11.5,17.0,30.0,24.0,5.5,8.0,17.5,8.0,9.0,10.0,9.5,9.5,7.0,4.0,32.0,31.0,28.5,4.5,18.5,3.0,18.0,30.0,29.0,27.0,31.0,6.0,4.0,10.0,15.0,11.2,17.3,5.5,14.5,16.33,16.0,12.67,31.33,6.0
2024,NYG,227.59,1.35,23.71,80.18,31.06,1.29,2.53,18.29,2.12,19.12,4.76,58.59,3.65,43.24,2.41,33.59,1.18,15.06,2.82,27.0,1.06,12.71,0.24,0.65,0.29,0.41,0.29,0.12,0.18,0.18,0.06,0.35,251.29,148.65,22.0,23.0,10.0,2.0,15.0,28.5,18.5,19.0,8.0,4.0,26.0,25.0,12.5,17.0,7.0,3.0,16.0,15.0,29.5,31.0,25.5,16.0,11.0,14.0,14.0,16.5,18.0,23.0,5.0,20.0,23.5,2.0,18.5,3.0,16.9,11.3,8.8,22.5,15.83,11.0,12.0,26.83,21.67,2.0
2024,NYJ,211.06,1.06,19.12,71.47,26.94,3.59,2.0,17.41,1.65,10.65,4.82,65.94,3.24,38.0,1.53,18.53,1.18,17.12,3.59,33.82,1.24,9.59,0.47,0.59,0.12,0.59,0.06,0.18,0.06,0.12,0.18,0.12,230.18,126.47,28.0,30.5,18.0,9.0,19.0,20.0,29.5,25.0,17.0,23.0,23.0,17.0,24.0,25.0,29.0,28.0,16.0,11.5,18.0,19.0,23.0,26.0,2.0,18.0,29.0,4.5,32.0,14.5,19.5,27.0,7.5,14.0,28.0,16.0,21.3,19.5,20.8,14.83,27.0,23.83,15.67,21.33,18.83,14.0
2024,PHI,192.12,1.29,20.76,55.59,24.82,2.88,1.94,14.24,2.35,13.59,4.59,47.71,3.24,42.71,2.47,23.53,1.24,15.59,3.29,28.24,0.71,6.53,0.18,0.18,0.12,0.35,0.35,0.24,0.12,0.18,0.12,0.06,212.88,108.24,31.0,26.0,16.0,24.0,21.0,23.0,31.0,30.0,4.0,13.0,29.0,32.0,24.0,19.0,6.0,17.0,14.0,14.0,22.0,27.0,31.0,32.0,17.5,31.0,29.0,25.0,12.0,8.0,10.5,20.0,14.0,22.0,32.0,28.0,24.5,28.8,19.0,28.67,18.33,10.33,12.83,23.0,25.67,22.0
2024,PIT,244.18,1.35,13.47,62.47,21.06,1.65,2.94,23.65,1.35,9.12,5.06,70.65,3.82,46.24,2.06,29.12,1.0,9.0,4.35,40.0,1.88,16.41,0.12,0.59,0.18,0.35,0.35,0.12,0.06,0.35,0.06,0.12,257.65,116.29,7.0,23.0,29.0,18.0,29.0,27.0,7.0,5.0,21.5,28.0,16.0,10.5,7.0,10.5,18.5,9.0,24.0,28.0,6.0,13.0,7.0,9.0,23.5,18.0,24.0,25.0,12.0,23.0,19.5,5.0,23.5,14.0,14.0,23.0,19.3,14.2,25.1,17.17,9.83,16.83,23.83,8.0,13.17,14.0
2024,SEA,230.76,1.47,14.76,62.24,39.0,4.76,2.41,21.0,2.12,15.18,5.06,53.24,4.12,48.06,2.18,26.12,0.88,15.65,3.94,41.65,1.06,9.88,0.18,0.41,0.24,0.35,0.47,0.29,0.0,0.18,0.06,0.12,245.53,137.41,21.0,16.5,26.0,19.5,6.0,10.0,24.0,12.0,8.0,11.0,16.0,30.0,5.0,9.0,14.5,14.0,25.5,13.0,12.0,10.0,25.5,24.5,17.5,26.0,18.5,25.0,5.0,4.0,29.0,20.0,23.5,14.0,23.0,11.0,20.8,18.5,10.9,23.67,6.33,10.83,22.5,14.0,24.5,14.0
2024,SF,204.47,1.47,16.24,71.41,31.24,5.71,3.06,20.65,1.71,16.06,4.41,52.29,3.76,44.88,1.59,22.82,0.88,6.88,3.65,32.41,0.82,8.06,0.29,1.0,0.18,0.35,0.41,0.24,0.12,0.18,0.12,0.06,220.71,139.35,29.0,16.5,23.0,10.0,14.0,8.0,5.0,13.0,15.5,8.0,31.0,31.0,8.0,13.0,27.5,21.0,25.5,31.0,15.5,21.0,30.0,30.0,7.5,1.5,24.0,25.0,7.5,8.0,10.5,20.0,14.0,22.0,30.0,9.0,21.2,7.7,14.1,29.0,9.5,18.83,22.33,18.83,24.67,22.0
2024,TB,261.59,1.59,20.82,48.88,23.94,4.0,2.47,17.59,2.53,21.29,4.94,54.47,4.18,52.94,2.59,27.41,1.88,21.59,4.41,50.41,1.59,16.88,0.35,0.29,0.35,0.12,0.71,0.12,0.12,0.18,0.12,0.12,282.41,111.71,3.0,11.0,15.0,28.0,24.0,16.0,21.0,24.0,2.0,1.0,20.5,27.0,4.0,7.0,3.0,12.0,1.0,4.0,5.0,3.0,10.5,7.0,4.5,29.5,9.0,32.0,1.0,23.0,10.5,20.0,14.0,14.0,3.0,27.0,7.3,25.9,12.6,26.5,4.0,12.67,5.17,9.33,10.5,14.0
2024,TEN,189.0,1.53,25.59,57.35,45.94,5.06,2.12,14.71,1.18,8.88,4.82,53.41,3.29,38.65,1.41,19.0,1.53,17.12,2.82,27.53,1.29,9.88,0.35,0.65,0.65,0.41,0.47,0.0,0.06,0.12,0.12,0.41,214.59,126.88,32.0,14.0,6.0,23.0,2.0,9.0,27.0,29.0,28.0,29.0,23.0,29.0,21.5,24.0,30.5,27.0,6.0,11.5,29.5,28.0,21.0,24.5,4.5,14.0,1.0,16.5,5.0,32.0,19.5,27.0,14.0,1.0,31.0,15.0,17.5,21.6,15.0,22.83,16.83,29.83,12.33,28.17,19.83,1.0
2024,WAS,204.18,1.41,20.0,79.88,33.94,3.65,2.06,17.82,0.76,4.94,5.65,74.41,3.06,32.76,1.76,25.12,0.76,10.47,2.59,27.47,1.41,12.41,0.12,0.94,0.06,0.41,0.29,0.18,0.06,0.29,0.18,0.12,224.18,136.59,30.0,19.5,17.0,3.5,12.0,18.5,28.0,22.0,32.0,32.0,5.5,6.0,29.0,32.0,25.0,15.0,28.5,24.0,31.5,29.0,15.0,17.0,23.5,3.0,32.0,16.5,18.0,14.5,19.5,7.5,7.5,14.0,29.0,12.0,23.8,13.7,24.0,9.33,26.33,18.17,24.0,22.67,13.17,14.0
